beginTime,classType,EventOccurred
2017-09-06T19:20Z,M1.4,1
2017-09-06T23:33Z,M1.2,1
2017-09-07T05:00Z,M2.4,1
2017-09-07T09:50Z,M1.4,1
2017-09-07T10:11Z,M7.3,1
2017-09-07T14:20Z,X1.3,1
2017-09-07T23:51Z,M3.9,1
2017-09-08T02:19Z,M1.3,1
2017-09-08T03:39Z,M1.2,1
2017-09-08T07:40Z,M8.1,1
2017-09-08T15:09Z,M3.0,1
2017-09-08T23:34Z,M2.1,1
2017-09-09T04:14Z,M1.1,1
2017-09-09T10:51Z,M3.7,1
2017-09-09T22:04Z,M1.1,1
2017-09-10T02:39Z,C9.0,1
2017-09-10T15:35Z,X8.2,1
2017-09-11T10:08Z,B9.8,0
2017-09-12T07:23Z,C3.0,1
2017-09-12T19:03Z,C1.6,1
2017-09-13T07:39Z,B1.4,0
2017-09-20T12:32Z,B5.4,0
2017-09-20T19:28Z,B8.4,0
2017-09-26T02:31Z,C1.8,1
2017-09-27T00:49Z,C1.7,1
2017-10-20T23:10Z,M1.1,1
2018-02-04T20:18Z,C1.1,1
2018-02-12T00:15Z,C1.5,1
2018-03-30T07:57Z,C4.6,1
2018-05-28T17:06Z,C3.3,1
2019-01-26T13:13Z,C5.0,1
2019-01-30T05:57Z,C5.2,1
2019-03-08T03:07Z,C1.3,1
2019-03-20T07:05Z,B6.1,0
2019-03-20T10:35Z,C4.8,1
2019-03-21T03:08Z,C5.6,1
2019-05-06T05:04Z,C9.9,1
2020-05-29T07:18Z,M1.1,1
2020-11-20T16:44Z,C1.9,1
2020-11-20T18:11Z,C1.0,1
2020-11-29T12:34Z,M4.4,1
2020-12-07T15:46Z,C7.4,1
2020-12-13T08:45Z,B1.4,0
2020-12-14T14:09Z,C4.0,1
2021-02-26T07:01Z,B9.5,0
2021-03-09T12:17Z,C1.6,1
2021-04-17T16:20Z,B9.7,0
2021-04-19T23:19Z,M1.1,1
2021-04-22T04:10Z,C3.8,1
2021-04-25T01:22Z,C2.6,1
2021-05-07T03:37Z,B6.0,0
2021-05-07T18:43Z,M3.9,1
2021-05-09T13:39Z,C4.0,1
2021-05-14T00:37Z,B4.9,0
2021-05-19T02:58Z,B1.2,0
2021-05-19T17:02Z,B1.3,0
2021-05-21T08:41Z,B3.8,0
2021-05-22T06:12Z,C6.0,1
2021-05-22T15:12Z,C3.2,1
2021-05-22T17:03Z,M1.1,1
2021-05-22T21:30Z,M1.4,1
2021-05-23T09:15Z,C2.4,1
2021-05-23T11:00Z,M1.1,1
2021-05-23T17:00Z,C2.2,1
2021-05-24T00:24Z,B4.8,0
2021-05-28T22:19Z,C9.4,1
2021-06-23T06:43Z,C3.4,1
2021-06-25T02:45Z,C6.0,1
2021-06-25T13:48Z,C1.7,1
2021-07-03T02:14Z,C5.7,1
2021-07-03T07:04Z,M2.7,1
2021-07-03T14:18Z,X1.5,1
2021-07-03T16:59Z,M1.0,1
2021-07-04T05:01Z,M1.5,1
2021-07-05T16:36Z,B5.3,0
2021-07-05T23:09Z,B5.7,0
2021-07-07T15:16Z,B7.1,0
2021-07-09T07:30Z,C6.0,1
2021-07-09T10:31Z,C7.0,1
2021-07-09T17:15Z,C4.7,1
2021-07-10T01:56Z,B2.9,0
2021-07-10T10:11Z,B1.6,0
2021-07-20T16:18Z,B5.4,0
2021-07-23T23:54Z,C4.3,1
2021-07-25T04:42Z,B2.5,0
2021-07-26T14:57Z,B2.2,0
2021-07-27T02:00Z,B1.9,0
2021-07-28T07:25Z,B6.9,0
2021-07-31T16:05Z,B2.4,0
2021-08-04T03:13Z,B5.9,0
2021-08-17T10:26Z,A9.1,0
2021-08-24T12:03Z,B8.8,0
2021-08-26T17:48Z,C3.0,1
2021-08-26T23:15Z,C3.9,1
2021-08-28T05:39Z,M4.7,1
2021-09-04T21:06Z,B4.5,0
2021-09-05T17:42Z,B7.9,0
2021-09-05T18:47Z,B7.0,0
2021-09-07T23:42Z,C2.3,1
2021-09-17T04:14Z,C5.5,1
2021-09-23T04:20Z,M2.8,1
2021-09-23T15:23Z,M1.8,1
2021-09-26T11:20Z,C1.6,1
2021-09-28T05:54Z,C1.6,1
2021-10-07T13:17Z,B2.6,0
2021-10-09T06:19Z,M1.6,1
2021-10-10T22:28Z,C2.3,1
2021-10-12T01:36Z,B9.5,0
2021-10-13T09:54Z,B3.3,0
